"TCGplayer Id","Product Line","Set Name","Product Name","Title","Number","Rarity","Condition","TCG Market Price","TCG Direct Low","TCG Low Price With Shipping","TCG Low Price","Total Quantity","Add to Quantity","TCG Marketplace Price","Photo URL"
"394276","Magic","Scars of Mirrodin","Painsmith","","74","U","Near Mint","0.10","0.04","0.25","0.01","1","1","0.10","https://tcgplayer-cdn.tcgplayer.com/product/36339_200w.jpg"
"4503880","Magic","Double Masters","Crop Rotation (Borderless)","","349","R","Near Mint","26.95","27.98","28.33","24.95","1","1","26.95","https://tcgplayer-cdn.tcgplayer.com/product/218449_200w.jpg"
