Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Painsmith,som,Scars of Mirrodin,74,,,1,,b8e531ab-29ed-4e54-ae9c-681a220666ad,,,,,en,
Crop Rotation,2xm,Double Masters,349,,,1,,187abedf-c2eb-453b-bea0-a10afa399e03,,,,,en,
