collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
74,,en,Painsmith,fbdbea75-7f80-4704-b2cf-920d00dc1273,1,b8e531ab-29ed-4e54-ae9c-681a220666ad,som,Scars of Mirrodin
349,,en,Crop Rotation,28b46183-c62f-47b1-9fee-3ba148202cab,1,187abedf-c2eb-453b-bea0-a10afa399e03,2xm,Double Masters
